lag,ccf,p_value,p_value_bh,phase,target
-21,0.02400871439789819,0.7664883470625097,0.990560851683325,Phase 7,incidence
-20,-0.09157011801004156,0.2573571429494575,0.9417320845327267,Phase 7,incidence
-19,0.007527393197809541,0.9258171965517588,0.990560851683325,Phase 7,incidence
-18,-0.043408584457998764,0.5913128339401006,0.990560851683325,Phase 7,incidence
-17,-0.029905577395514703,0.711448385446501,0.990560851683325,Phase 7,incidence
-16,0.09896482209919444,0.2209042299364709,0.9417320845327267,Phase 7,incidence
-15,0.07631132138116256,0.34521108515564985,0.9417320845327267,Phase 7,incidence
-14,0.004640245780552082,0.9542292152309123,0.990560851683325,Phase 7,incidence
-13,-0.07549249260964583,0.35041193843078206,0.9417320845327267,Phase 7,incidence
-12,-0.07910847412868424,0.32781829991311146,0.9417320845327267,Phase 7,incidence
-11,0.012095864759065067,0.8810663342389606,0.990560851683325,Phase 7,incidence
-10,0.08936378246785737,0.2689997554883136,0.9417320845327267,Phase 7,incidence
-9,-0.03213184726564976,0.6910363874518317,0.990560851683325,Phase 7,incidence
-8,0.03818186484465116,0.6367243852653368,0.990560851683325,Phase 7,incidence
-7,0.15894820030220594,0.04928929444400408,0.5298599152730439,Phase 7,incidence
-6,0.009240367527334007,0.9090023336144515,0.990560851683325,Phase 7,incidence
-5,0.008944396821597289,0.9119049365455489,0.990560851683325,Phase 7,incidence
-4,-0.00292431557103538,0.9711453828151874,0.990560851683325,Phase 7,incidence
-3,-0.09624447926707559,0.23385839051484056,0.9417320845327267,Phase 7,incidence
-2,0.36640729005706774,5.837036567320118e-6,1.2549628619738253e-4,Phase 7,incidence
-1,0.11575165317944473,0.15220997703442576,0.9417320845327267,Phase 7,incidence
0,-0.40644522170308894,4.970456998499195e-7,2.1372965093546537e-5,Phase 7,incidence
1,0.17152090843916223,0.03387163929214951,0.48549349652080964,Phase 7,incidence
2,0.005133377738835602,0.9493712450351655,0.990560851683325,Phase 7,incidence
3,9.564387515207995e-4,0.990560851683325,0.990560851683325,Phase 7,incidence
4,0.07593077567183551,0.34762199896792356,0.9417320845327267,Phase 7,incidence
5,-0.050690418082351994,0.5306554044970397,0.990560851683325,Phase 7,incidence
6,0.04203684831388005,0.603086507980297,0.990560851683325,Phase 7,incidence
7,0.05833471571248591,0.4705646803267319,0.990560851683325,Phase 7,incidence
8,-0.1000172753777516,0.21603311780943557,0.9417320845327267,Phase 7,incidence
9,-0.05494429316872265,0.4967429664558786,0.990560851683325,Phase 7,incidence
10,0.0657480262606539,0.4160700539517147,0.990560851683325,Phase 7,incidence
11,0.07165326568397103,0.37545483934970975,0.9496798877669128,Phase 7,incidence
12,-0.02382693718583469,0.7682055404243584,0.990560851683325,Phase 7,incidence
13,0.018372725113566715,0.8202230840826661,0.990560851683325,Phase 7,incidence
14,0.037441437313784846,0.6432747694963593,0.990560851683325,Phase 7,incidence
15,-0.0574639550957114,0.477214459179478,0.990560851683325,Phase 7,incidence
16,-0.03232505215945123,0.6892752411615524,0.990560851683325,Phase 7,incidence
17,0.0035248758310560467,0.965223007694017,0.990560851683325,Phase 7,incidence
18,-0.08712508952458564,0.28117755100931535,0.9417320845327267,Phase 7,incidence
19,0.10003232479133291,0.21596402938855844,0.9417320845327267,Phase 7,incidence
20,0.01773315362343035,0.826379755316856,0.990560851683325,Phase 7,incidence
21,-0.03532692105914251,0.6621331912774736,0.990560851683325,Phase 7,incidence
-21,0.04672233353785934,0.5633158707955987,0.9849871274949102,Phase 7,hospitalizations
-20,-0.09124396079295778,0.2590558640255537,0.755075699097708,Phase 7,hospitalizations
