date,count,count_positive,count_negative,quotient,count_mean_7,count_positive_mean_7,count_negative_mean_7,quotient_mean_7,incidence,hospitalizations,icu_ratio,icu_ratio_mean_7,phase
2021-12-27,40727,288,40439,0.007071475925062,39358.8571428571,192.571428571429,39166.2857142857,0.00489270884752751,232.9,6.69,0.1697610590894414,0.17507918025419533,Phase 7
2021-12-28,49870,276,49594,0.00553438941247243,41183,207,40976,0.00502634582230532,229.9,6.55,0.16621703241393196,0.17271203027071974,Phase 7
2021-12-29,53193,340,52853,0.00639181847235539,43130.8571428571,229,42901.8571428571,0.00530942381324607,224,6.43,0.16166020671834624,0.17020101135799462,Phase 7
2021-12-30,54187,407,53780,0.00751102663000351,44290.1428571429,260.714285714286,44029.4285714286,0.00588650812338121,224.9,6.4,0.15840181354491356,0.1676565746798088,Phase 7
2021-12-31,62442,406,62036,0.00650203388744755,46933.1428571429,291.285714285714,46641.8571428571,0.00620639694154603,232.7,6.41,0.1555699902565768,0.16514214077051573,Phase 7
2022-01-01,21070,315,20755,0.0149501661129568,45261.4285714286,314,44947.4285714286,0.00693747435533251,241.2,6.47,0.15557634426096154,0.16265862722477342,Phase 7
2022-01-02,43667,393,43274,0.00899993129823437,46450.8571428571,346.428571428571,46104.4285714286,0.00745795864139059,245.7,6.47,0.15477207108291652,0.16027978819529828,Phase 7
2022-01-03,58516,677,57839,0.0115694852689863,48992.1428571429,402,48590.1428571429,0.00820539736692473,250.7,6.49,0.1535789303603167,0.15796805551970905,Phase 7
2022-01-04,58735,696,58039,0.0118498340001703,50258.5714285714,462,49796.5714285714,0.00919246184019783,264.5,6.56,0.1473067351689813,0.15526658448471609,Phase 7
2022-01-05,58660,608,58052,0.0103648141834299,51039.5714285714,500.285714285714,50539.2857142857,0.00980191839944917,290,6.5,0.14255404323458767,0.15253713255846488,Phase 7
2022-01-06,59480,542,58938,0.00911230665770007,51795.7142857143,519.571428571429,51276.1428571429,0.0100311663954547,317.4,6.43,0.13785224676313784,0.14960148016106833,Phase 7
2022-01-07,59497,611,58886,0.0102694253491773,51375,548.857142857143,50826.1428571429,0.0106833507125478,335.2,6.16,0.13555787278415016,0.14674260623643595,Phase 7
2022-01-08,61916,588,61328,0.00949673751534337,57210.1428571429,587.857142857143,56622.2857142857,0.0102754007156573,367.6,6.41,0.13349983886561392,0.1435888197513863,Phase 7
2022-01-09,64687,669,64018,0.0103421089245134,60213,627.285714285714,59585.7142857143,0.0104177787900572,395,6.56,0.13219435356839937,0.1403634315350267,Phase 7
2022-01-10,69053,874,68179,0.0126569446656916,61718.2857142857,655.428571428571,61062.8571428571,0.0106196820576444,406,6.49,0.13022044088176352,0.13702650446666198,Phase 7
