date,count,count_positive,count_negative,quotient,count_mean_7,count_positive_mean_7,count_negative_mean_7,quotient_mean_7,incidence,hospitalizations,icu_ratio,icu_ratio_mean_7
2020-02-25,0,0,0,NA,0,0,0,NA,0,NA,NA,NA
2020-02-26,0,0,0,NA,0,0,0,NA,0,NA,NA,NA
2020-02-27,0,0,0,NA,0,0,0,NA,0,NA,NA,NA
2020-02-28,0,0,0,NA,0,0,0,NA,0,NA,NA,NA
2020-02-29,0,0,0,NA,0,0,0,NA,0.1,NA,NA,NA
2020-03-01,0,0,0,NA,0,0,0,NA,0.1,0.03,NA,NA
2020-03-02,0,0,0,NA,0,0,0,NA,0.2,0.03,NA,NA
2020-03-03,0,0,0,NA,0,0,0,NA,0.2,0.06,NA,NA
2020-03-04,0,0,0,NA,0,0,0,NA,0.3,0.08,NA,NA
2020-03-05,0,0,0,NA,0,0,0,NA,0.5,0.09,NA,NA
2020-03-06,0,0,0,NA,0,0,0,NA,0.7,0.11,NA,NA
2020-03-07,0,0,0,NA,0,0,0,NA,0.9,0.16,NA,NA
2020-03-08,0,0,0,NA,0,0,0,NA,1,0.18,NA,NA
2020-03-09,0,0,0,NA,0,0,0,NA,1.1,0.19,NA,NA
2020-03-10,0,0,0,NA,0,0,0,NA,1.5,0.22,NA,NA
2020-03-11,0,0,0,NA,0,0,0,NA,2.1,0.27,NA,NA
2020-03-12,0,0,0,NA,0,0,0,NA,2.8,0.31,NA,NA
2020-03-13,0,0,0,NA,0,0,0,NA,3.8,0.38,NA,NA
2020-03-14,0,0,0,NA,0,0,0,NA,5.3,0.47,NA,NA
2020-03-15,0,0,0,NA,0,0,0,NA,6.7,0.54,NA,NA
2020-03-16,0,0,0,NA,0,0,0,NA,7.7,0.63,NA,NA
2020-03-17,0,0,0,NA,0,0,0,NA,9.8,0.81,NA,NA
2020-03-18,0,0,0,NA,0,0,0,NA,12.7,1.02,NA,NA
2020-03-19,0,0,0,NA,0,0,0,NA,16.1,1.34,NA,NA
2020-03-20,0,0,0,NA,0,0,0,NA,19.8,1.67,0.05683432793407218,NA
2020-03-21,0,0,0,NA,0,0,0,NA,22.9,2.01,0.04739919975377039,NA
2020-03-22,0,0,0,NA,0,0,0,NA,25.4,2.4,0.051390653677820135,NA
2020-03-23,0,0,0,NA,0,0,0,NA,26.9,2.66,0.056708160442600276,NA
